instancia,lucro_guloso,lucro_sa,tempo_guloso_ms,tempo_sa_ms
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_300\test.in,9999164185,9999173585,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_100\test.in,9999511040,9999058701,0,28
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_200\test.in,9999539090,9998634704,0,27
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_300\test.in,9999010323,9999444798,0,25
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_100\test.in,9997559095,9996110621,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_200\test.in,9992615028,9998285564,0,25
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_300\test.in,9989873772,9995067257,0,22
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_100\test.in,9915013032,9943229854,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_200\test.in,9939352102,9939244814,0,25
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_300\test.in,9991031836,9979052569,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_100\test.in,9330827641,9214127878,0,21
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_200\test.in,9166047196,9126983285,0,27
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_300\test.in,9136767990,9060595088,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_0_s_100\test.in,9998809079,9998796504,0,26
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_0_s_200\test.in,9998839532,9998813277,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_0_s_300\test.in,9998870507,9998838366,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_100\test.in,9999557713,9999555168,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_200\test.in,9999405380,9999551556,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_300\test.in,9999336636,9999371736,0,26
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_100\test.in,5001005151,5001005082,0,17
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_200\test.in,5001009769,5001009726,0,17
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_300\test.in,5001015101,5001014908,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_100\test.in,5010005185,5010005174,0,16
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_200\test.in,5010010045,5010010008,0,17
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_300\test.in,5010015073,5010015011,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_100\test.in,5100005641,5100005577,0,17
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_200\test.in,5100009267,5100009146,0,17
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_300\test.in,5100016344,5100016198,0,17
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_100\test.in,6000005398,6000005375,0,17
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_200\test.in,6000010195,6000010059,0,17
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_300\test.in,6000015199,6000015091,0,16
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_0_s_100\test.in,5000005361,5000005312,0,17
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_0_s_200\test.in,5000009608,5000009595,0,16
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_0_s_300\test.in,5000015837,5000015642,0,17
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_100\test.in,5000105221,5000105208,0,17
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_200\test.in,5000110445,5000110338,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_300\test.in,5000115872,5000115683,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_100\test.in,5001009668,5001009635,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_200\test.in,5001021091,5001021051,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_300\test.in,5001030041,5001029890,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_100\test.in,5010009248,5010009240,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_200\test.in,5010020265,5010020140,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_300\test.in,5010030307,5010030289,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_100\test.in,5100010075,5100010068,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_200\test.in,5100020241,5100020223,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_300\test.in,5100031647,5100031401,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_100\test.in,6000010227,6000010136,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_200\test.in,6000019894,6000019698,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_300\test.in,6000030646,6000030464,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_0_s_100\test.in,5000010269,5000010221,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_0_s_200\test.in,5000020598,5000020535,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_0_s_300\test.in,5000031536,5000031508,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_100\test.in,5000110222,5000110175,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_200\test.in,5000119899,5000119785,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_300\test.in,5000130096,5000129886,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_100\test.in,5001016164,5001016105,0,21
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_200\test.in,5001030403,5001030305,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_300\test.in,5001044115,5001043994,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_100\test.in,5010014762,5010014709,0,22
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_200\test.in,5010031030,5010030996,0,23
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_300\test.in,5010044845,5010044637,0,23
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_100\test.in,5100015007,5100014938,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_200\test.in,5100031449,5100031349,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_300\test.in,5100047422,5100047258,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_100\test.in,6000016398,6000016378,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_200\test.in,6000030829,6000030649,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_300\test.in,6000043420,6000043241,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_0_s_100\test.in,5000015070,5000015002,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_0_s_200\test.in,5000029332,5000029179,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_0_s_300\test.in,5000044153,5000043969,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_100\test.in,5000116036,5000116009,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_200\test.in,5000130084,5000130049,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_300\test.in,5000144493,5000144206,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_100\test.in,9718508112,9692505689,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_200\test.in,9716515186,9692511157,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_300\test.in,9717522945,9697517094,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_100\test.in,9987507900,9747505731,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_200\test.in,9967515262,9777511771,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_300\test.in,9967522507,9757516264,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_100\test.in,9700006562,9975004981,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_200\test.in,9700012676,9762509822,0,19
