instance,greedy,sa,time_seconds,max_rss_kb
n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_100,9999511040,9999511826,1.15,4096
n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_200,9999539090,9999540867,1.03,4096
n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_300,9999010323,9999011925,1.18,4352
n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_100,9997559095,10000001269,0.97,3968
n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_200,9992615028,9999940803,1.11,4224
n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_300,9989873772,9999875354,0.97,4096
n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_100,9915013032,9999241683,0.91,4224
n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_200,9939352102,9999166984,0.96,4224
n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_300,9991031836,9999577599,0.91,4224
n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_100,9330827641,9998552194,0.99,4224
n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_200,9166047196,9998566511,0.83,4352
n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_300,9136767990,9996142581,1.02,4096
n_1000_c_10000000000_g_14_f_0.3_eps_0_s_100,9998809079,9998809079,0.98,4224
n_1000_c_10000000000_g_14_f_0.3_eps_0_s_200,9998839532,9998839532,1.21,4224
n_1000_c_10000000000_g_14_f_0.3_eps_0_s_300,9998870507,9998870507,1.04,4224
n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_100,9999557713,9999558574,1.04,4224
n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_200,9999405380,9999406907,1.25,3968
n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_300,9999336636,9999339093,1.27,4224
n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_100,5001005148,5001005148,0.74,4224
n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_200,5001009769,5001009769,0.81,4224
n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_300,5001015100,5001015100,0.74,4352
n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_100,5010005185,5010005185,0.83,4096
n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_200,5010010045,5010010045,0.71,4224
n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_300,5010015073,5010015073,0.70,4224
n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_100,5100005641,5100005641,0.67,4096
n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_200,5100009267,5100009267,0.74,4352
n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_300,5100016340,5100016340,0.63,4224
n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_100,6000005398,6000005400,0.76,4224
n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_200,6000010195,6000010195,0.82,4352
n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_300,6000015199,6000015201,0.65,4352
n_1000_c_10000000000_g_2_f_0.1_eps_0_s_100,5000005359,5000005359,0.66,4224
n_1000_c_10000000000_g_2_f_0.1_eps_0_s_200,5000009608,5000009608,0.84,4352
n_1000_c_10000000000_g_2_f_0.1_eps_0_s_300,5000015837,5000015837,0.69,4224
n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_100,5000105220,5000105220,0.70,4352
n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_200,5000110445,5000110445,0.84,4352
n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_300,5000115872,5000115872,0.81,4224
n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_100,5001009668,5001009668,0.96,4224
n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_200,5001021091,5001021091,0.70,4224
n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_300,5001030032,5001030032,0.74,4096
n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_100,5010009246,5010009246,0.74,4224
n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_200,5010020265,5010020265,0.98,4224
n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_300,5010030307,5010030307,0.77,4352
n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_100,5100010075,5100010075,0.89,4224
n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_200,5100020241,5100020241,0.90,4224
n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_300,5100031647,5100031647,0.78,4224
n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_100,6000010227,6000010227,0.73,4224
n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_200,6000019894,6000019896,0.71,4224
n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_300,6000030646,6000030672,0.80,4224
n_1000_c_10000000000_g_2_f_0.2_eps_0_s_100,5000010269,5000010269,0.71,4224
n_1000_c_10000000000_g_2_f_0.2_eps_0_s_200,5000020598,5000020598,0.88,4224
n_1000_c_10000000000_g_2_f_0.2_eps_0_s_300,5000031536,5000031536,0.85,4224
n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_100,5000110222,5000110222,0.69,4352
n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_200,5000119899,5000119899,0.69,4224
n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_300,5000130096,5000130096,0.89,4096
n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_100,5001016164,5001016164,0.75,4224
n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_200,5001030403,5001030403,1.09,4224
n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_300,5001044115,5001044115,0.74,4224
n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_100,5010014762,5010014762,0.92,4224
n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_200,5010031030,5010031030,0.79,4224
n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_300,5010044845,5010044845,0.83,4096
n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_100,5100015007,5100015007,1.00,4224
n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_200,5100031449,5100031449,0.77,4096
n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_300,5100047422,5100047422,0.76,4096
n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_100,6000016394,6000016394,0.74,4224
n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_200,6000030829,6000030829,0.91,4224
n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_300,6000043420,6000043425,0.72,4224
n_1000_c_10000000000_g_2_f_0.3_eps_0_s_100,5000015070,5000015070,0.77,4224
n_1000_c_10000000000_g_2_f_0.3_eps_0_s_200,5000029332,5000029332,0.91,4224
n_1000_c_10000000000_g_2_f_0.3_eps_0_s_300,5000044153,5000044153,0.94,4096
n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_100,5000116036,5000116036,0.73,4352
n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_200,5000130084,5000130084,0.82,4352
n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_300,5000144493,5000144493,0.74,4096
n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_100,9718508112,9718508112,0.75,4224
n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_200,9716515186,9716515186,0.92,4224
n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_300,9717522945,9717522945,1.03,4096
n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_100,9987507900,9987508070,0.74,4224
n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_200,9967515262,9967515859,0.91,4224
n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_300,9967522507,9967523080,0.78,4224
n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_100,9700006562,9700006562,0.81,4352
n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_200,9700012676,9700012676,0.95,4096
n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_300,9900020410,9900020914,0.82,4352
n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_100,9187505559,9812505565,0.73,4352
n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_200,9812511432,9812511461,0.77,4096
n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_300,9187517432,9812517530,0.85,4096
n_1000_c_10000000000_g_6_f_0.1_eps_0_s_100,9687507568,9687507568,0.93,4224
n_1000_c_10000000000_g_6_f_0.1_eps_0_s_200,9687514619,9687514619,0.83,4096
n_1000_c_10000000000_g_6_f_0.1_eps_0_s_300,9687521596,9687521596,0.99,4224
n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_100,9690507143,9690507143,0.95,4352
n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_200,9690314622,9690314622,0.95,4096
n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_300,9690422413,9690422413,0.88,4224
n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_100,9716511613,9716511613,0.85,4224
n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_200,9714524491,9714524491,0.85,4224
n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_300,9716535792,9716535792,0.97,4224
n_1000_c_10000000000_g_6_f_0.2_eps_0.001_s_100,9977512228,9977512368,0.79,4352
n_1000_c_10000000000_g_6_f_0.2_eps_0.001_s_200,9977522595,9977523071,0.87,4224
n_1000_c_10000000000_g_6_f_0.2_eps_0.001_s_300,9967535713,9967536384,1.02,4096
n_1000_c_10000000000_g_6_f_0.2_eps_0.01_s_100,9600012375,9600012375,1.03,4224
n_1000_c_10000000000_g_6_f_0.2_eps_0.01_s_200,9900023689,9900024019,0.76,4352
n_1000_c_10000000000_g_6_f_0.2_eps_0.01_s_300,9912536763,9912536943,0.84,4224
n_1000_c_10000000000_g_6_f_0.2_eps_0.1_s_100,9187510866,9812510902,0.75,4096
n_1000_c_10000000000_g_6_f_0.2_eps_0.1_s_200,9500020843,9812520843,0.76,4224
n_1000_c_10000000000_g_6_f_0.2_eps_0.1_s_300,9500032426,9812532574,0.91,4224
n_1000_c_10000000000_g_6_f_0.2_eps_0_s_100,9687512484,9687512484,0.95,4224
n_1000_c_10000000000_g_6_f_0.2_eps_0_s_200,9687526309,9687526309,0.81,4224
n_1000_c_10000000000_g_6_f_0.2_eps_0_s_300,9687536606,9687536606,1.03,4352
n_1000_c_10000000000_g_6_f_0.2_eps_1e-05_s_100,9690412604,9690412604,0.86,4224
n_1000_c_10000000000_g_6_f_0.2_eps_1e-05_s_200,9690424624,9690424624,0.95,3968
n_1000_c_10000000000_g_6_f_0.2_eps_1e-05_s_300,9690434949,9690434949,0.87,4224
n_1000_c_10000000000_g_6_f_0.3_eps_0.0001_s_100,9716517021,9716517021,0.93,4224
n_1000_c_10000000000_g_6_f_0.3_eps_0.0001_s_200,9715536012,9715536012,1.06,4224
n_1000_c_10000000000_g_6_f_0.3_eps_0.0001_s_300,9716554352,9716554352,0.81,4096
n_1000_c_10000000000_g_6_f_0.3_eps_0.001_s_100,9927516322,9927516464,0.77,4224
n_1000_c_10000000000_g_6_f_0.3_eps_0.001_s_200,9937533671,9937533796,0.81,4224
n_1000_c_10000000000_g_6_f_0.3_eps_0.001_s_300,9957552376,9957553019,0.92,4224
n_1000_c_10000000000_g_6_f_0.3_eps_0.01_s_100,9900016581,9900016752,0.77,4224
n_1000_c_10000000000_g_6_f_0.3_eps_0.01_s_200,9700035122,9700035122,1.14,4224
n_1000_c_10000000000_g_6_f_0.3_eps_0.01_s_300,9800053821,9800054295,0.93,4352
n_1000_c_10000000000_g_6_f_0.3_eps_0.1_s_100,9500015254,9812515261,0.79,4352
n_1000_c_10000000000_g_6_f_0.3_eps_0.1_s_200,9187530922,9812530921,0.77,4224
n_1000_c_10000000000_g_6_f_0.3_eps_0.1_s_300,9187546534,9812546545,0.82,4096
n_1000_c_10000000000_g_6_f_0.3_eps_0_s_100,9687517563,9687517563,1.01,4096
n_1000_c_10000000000_g_6_f_0.3_eps_0_s_200,9687535653,9687535653,1.09,4224
n_1000_c_10000000000_g_6_f_0.3_eps_0_s_300,9687548800,9687548800,0.85,4224
n_1000_c_10000000000_g_6_f_0.3_eps_1e-05_s_100,9690317533,9690317533,1.09,4224
n_1000_c_10000000000_g_6_f_0.3_eps_1e-05_s_200,9690335081,9690335081,0.84,4224
n_1000_c_10000000000_g_6_f_0.3_eps_1e-05_s_300,9690551257,9690551257,0.98,4096
n_1000_c_100000000_g_10_f_0.1_eps_0.0001_s_100,99918979,99919852,0.88,4224
n_1000_c_100000000_g_10_f_0.1_eps_0.0001_s_200,99929692,99930959,0.86,4096
n_1000_c_100000000_g_10_f_0.1_eps_0.0001_s_300,99984996,99988077,1.05,4224
n_1000_c_100000000_g_10_f_0.1_eps_0.001_s_100,99752711,99948684,1.03,4096
n_1000_c_100000000_g_10_f_0.1_eps_0.001_s_200,99770761,99968263,0.84,4224
n_1000_c_100000000_g_10_f_0.1_eps_0.001_s_300,99972416,99974911,0.87,4224
n_1000_c_100000000_g_10_f_0.1_eps_0.01_s_100,99604320,99995169,0.84,4224
n_1000_c_100000000_g_10_f_0.1_eps_0.01_s_200,99957671,99958574,1.05,4224
n_1000_c_100000000_g_10_f_0.1_eps_0.01_s_300,99427823,100012651,1.04,4224
n_1000_c_100000000_g_10_f_0.1_eps_0.1_s_100,95474471,99966598,0.77,4096
n_1000_c_100000000_g_10_f_0.1_eps_0.1_s_200,95480875,99777759,0.85,4096
n_1000_c_100000000_g_10_f_0.1_eps_0.1_s_300,95291843,99979238,0.85,4096
n_1000_c_100000000_g_10_f_0.1_eps_0_s_100,99821840,99821840,0.88,4096
n_1000_c_100000000_g_10_f_0.1_eps_0_s_200,99834744,99834744,0.89,4224
n_1000_c_100000000_g_10_f_0.1_eps_0_s_300,99851422,99853960,0.84,4096
n_1000_c_100000000_g_10_f_0.1_eps_1e-05_s_100,99965373,99966148,0.85,4096
n_1000_c_100000000_g_10_f_0.1_eps_1e-05_s_200,99977999,99979469,0.90,4096
n_1000_c_100000000_g_10_f_0.1_eps_1e-05_s_300,100006480,100008419,0.82,4352
n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_100,99973101,99973728,0.83,4224
n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_200,99868856,99870088,0.83,4096
n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_300,99959938,99962801,0.82,4096
n_1000_c_100000000_g_10_f_0.2_eps_0.001_s_100,100008604,100008604,0.86,4224
n_1000_c_100000000_g_10_f_0.2_eps_0.001_s_200,99739479,99841403,0.85,4224
n_1000_c_100000000_g_10_f_0.2_eps_0.001_s_300,99774180,99971215,0.84,4096
n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_100,99686876,99882391,0.75,4096
n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_200,99406250,99992815,0.75,4224
n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_300,99936306,99937146,0.77,4352
n_1000_c_100000000_g_10_f_0.2_eps_0.1_s_100,95675982,99777532,0.76,4224
n_1000_c_100000000_g_10_f_0.2_eps_0.1_s_200,94709891,99983256,0.72,4224
n_1000_c_100000000_g_10_f_0.2_eps_0.1_s_300,92962817,99994082,0.71,4224
n_1000_c_100000000_g_10_f_0.2_eps_0_s_100,99824842,99824842,0.85,4352
n_1000_c_100000000_g_10_f_0.2_eps_0_s_200,99844533,99846437,0.81,4096
n_1000_c_100000000_g_10_f_0.2_eps_0_s_300,99861901,99864432,0.77,4224
n_1000_c_100000000_g_10_f_0.2_eps_1e-05_s_100,99963732,99964398,0.76,4096
n_1000_c_100000000_g_10_f_0.2_eps_1e-05_s_200,99991892,99992923,0.78,4096
n_1000_c_100000000_g_10_f_0.2_eps_1e-05_s_300,100015026,100016011,0.81,4224
n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_100,99887601,99888502,0.87,4352
n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_200,99992252,99993695,0.87,4224
n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_300,100031518,100031518,0.84,4352
n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_100,99918569,99919179,0.86,4224
n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_200,100020415,100020415,0.80,4224
n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_300,99974983,99976461,0.79,4224
n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_100,99762269,99958047,0.79,4224
n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_200,99954120,99954830,0.81,4096
n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_300,99558872,99950839,0.84,4096
n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_100,93532889,99978186,0.78,4224
n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_200,99408566,99994585,0.79,4096
n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_300,95514815,100004095,0.82,4096
n_1000_c_100000000_g_10_f_0.3_eps_0_s_100,99828603,99828603,0.85,4224
n_1000_c_100000000_g_10_f_0.3_eps_0_s_200,99853556,99854595,0.86,4224
n_1000_c_100000000_g_10_f_0.3_eps_0_s_300,99878968,99880479,0.85,4224
n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_100,99958023,99958704,0.90,4224
n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_200,99980170,99981549,0.85,4224
n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_300,100005515,100006622,0.86,4224
n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_100,100003132,100004169,0.90,4224
n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_200,100010703,100012419,0.85,4224
n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_300,100027364,100027364,0.89,4224
n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_100,99959680,100008946,0.84,4096
n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_200,99988197,100014618,0.84,4224
n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_300,100009946,100032202,0.88,4224
n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_100,99638810,100004745,0.89,4352
n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_200,99136747,100004308,0.91,4224
n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_300,99681877,100011867,0.86,4224
n_1000_c_100000000_g_14_f_0.1_eps_0.1_s_100,91373208,99966818,0.71,4352
n_1000_c_100000000_g_14_f_0.1_eps_0.1_s_200,92319559,99997437,0.69,4224
n_1000_c_100000000_g_14_f_0.1_eps_0.1_s_300,93766350,99979519,0.76,4224
