instance_name,greedy_profit,sa_profit
n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_200,9939352102,9941880774
n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_300,9991031836,9988869020
n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_100,9330827641,9425553660
n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_200,9166047196,9668975607
n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_300,9136767990,9688524750
n_1000_c_10000000000_g_14_f_0.3_eps_0_s_100,9998809194,9998797729
n_1000_c_10000000000_g_14_f_0.3_eps_0_s_200,9998839532,9998815327
n_1000_c_10000000000_g_14_f_0.3_eps_0_s_300,9998870507,9998835696
n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_100,9999557713,9999554888
n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_200,9999405380,9998831606
n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_300,9999336636,9999772880
n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_100,5001005148,5001005097
n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_200,5001009769,5001009698
n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_300,5001015100,5001015062
n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_100,5010005185,5010005184
n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_200,5010010045,5010010044
n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_300,5010015073,5010014901
n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_100,5100005641,5100005597
n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_200,5100009267,5100009157
n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_300,5100016340,5100016256
n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_100,6000005398,6000005303
n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_200,6000010195,6000010004
n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_300,6000015199,6000014968
n_1000_c_10000000000_g_2_f_0.1_eps_0_s_100,5000005359,5000005275
n_1000_c_10000000000_g_2_f_0.1_eps_0_s_200,5000009608,5000009477
n_1000_c_10000000000_g_2_f_0.1_eps_0_s_300,5000015837,5000015788
n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_100,5000105221,5000105183
n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_200,5000110445,5000110350
n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_300,5000115872,5000115817
n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_100,5001009668,5001009670
n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_200,5001021091,5001020968
n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_300,5001030032,5001029873
n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_100,5010009248,5010009169
