instancia,lucro_guloso,lucro_sa,tempo_guloso_ms,tempo_sa_ms,tempo_total_ms
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_0_s_100\test.in,1012029,1012029,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_0_s_200\test.in,1023717,1023717,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_0_s_300\test.in,1033986,1033986,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_1e-05_s_100\test.in,1012002,1012002,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_1e-05_s_200\test.in,1024386,1024386,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_1e-05_s_300\test.in,1037863,1037863,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_0.0001_s_100\test.in,1012660,1012660,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_0.0001_s_200\test.in,1025403,1025403,0,2,2
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_0.0001_s_300\test.in,1035535,1035535,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_0.001_s_100\test.in,1011731,1011731,0,2,2
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_0.001_s_200\test.in,1024411,1024411,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_0.001_s_300\test.in,1037756,1037756,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_0.01_s_100\test.in,1009251,1009251,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_0.01_s_200\test.in,1018156,1018156,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_0.01_s_300\test.in,1028205,1028205,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_0.1_s_100\test.in,940231,940231,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_0.1_s_200\test.in,944711,944711,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_0.1_s_300\test.in,984256,984256,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_0_s_100\test.in,1013424,1013424,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_0_s_200\test.in,1026749,1026749,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_0_s_300\test.in,1039527,1039527,0,2,2
